
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.64:3000
- Environments: .env.local
✓ Ready in 4.8s

 GET /auth/superadmin 200 in 5.5s (next.js: 4.9s, application-code: 622ms)
 GET /auth/superadmin 200 in 79ms (next.js: 11ms, application-code: 68ms)
 GET /api/auth/csrf 200 in 1100ms (next.js: 1050ms, application-code: 50ms)
 GET /api/auth/csrf 200 in 48ms (next.js: 9ms, application-code: 40ms)
 POST /api/auth/callback/credentials 200 in 438ms (next.js: 4ms, application-code: 434ms)
 GET /api/auth/csrf 200 in 42ms (next.js: 11ms, application-code: 31ms)
 POST /api/auth/callback/credentials 200 in 241ms (next.js: 5ms, application-code: 236ms)
 GET /api/auth/session 200 in 32ms (next.js: 9ms, application-code: 23ms)
 GET /api/auth/csrf 200 in 28ms (next.js: 12ms, application-code: 16ms)
 POST /api/auth/callback/credentials 200 in 1296ms (next.js: 6ms, application-code: 1290ms)
 GET /api/auth/session 200 in 23ms (next.js: 9ms, application-code: 14ms)
 GET /admin/companies 200 in 643ms (next.js: 558ms, application-code: 85ms)
 GET /admin/departemen 200 in 373ms (next.js: 150ms, application-code: 224ms)
 GET /auth/forgot-password 200 in 80ms (next.js: 34ms, application-code: 46ms)
 GET / 200 in 151ms (next.js: 70ms, application-code: 81ms)
 GET /api/auth/session 200 in 197ms (next.js: 158ms, application-code: 39ms)
 GET /api/auth/session 200 in 63ms (next.js: 29ms, application-code: 34ms)
 GET /auth/login 200 in 127ms (next.js: 46ms, application-code: 82ms)
 GET /api/auth/session 200 in 38ms (next.js: 12ms, application-code: 26ms)
 GET /api/auth/session 200 in 40ms (next.js: 13ms, application-code: 27ms)
 GET /api/auth/providers 200 in 25ms (next.js: 10ms, application-code: 15ms)
 GET /api/auth/csrf 200 in 23ms (next.js: 4ms, application-code: 19ms)
Backend login gagal: { code: 'INVALID_CREDENTIALS', message: 'Wrong email or password' }
 POST /api/auth/callback/credentials 401 in 2.7s (next.js: 4ms, application-code: 2.7s)
 GET /api/auth/session 200 in 33ms (next.js: 12ms, application-code: 21ms)
 GET /api/auth/session 200 in 85ms (next.js: 36ms, application-code: 50ms)
 GET /api/auth/providers 200 in 23ms (next.js: 12ms, application-code: 11ms)
 GET /api/auth/csrf 200 in 24ms (next.js: 4ms, application-code: 21ms)
Backend login gagal: { code: 'INVALID_CREDENTIALS', message: 'Wrong email or password' }
 POST /api/auth/callback/credentials 401 in 1733ms (next.js: 4ms, application-code: 1730ms)
 GET /auth/forgot-password 200 in 56ms (next.js: 7ms, application-code: 49ms)
 GET /api/auth/session 200 in 31ms (next.js: 11ms, application-code: 21ms)
 GET /api/auth/session 200 in 33ms (next.js: 14ms, application-code: 19ms)
 GET /api/auth/session 200 in 43ms (next.js: 13ms, application-code: 30ms)
 GET /api/auth/session 200 in 32ms (next.js: 9ms, application-code: 23ms)
 GET /auth/forgot-password 200 in 48ms (next.js: 6ms, application-code: 42ms)
 GET /api/auth/session 200 in 31ms (next.js: 13ms, application-code: 18ms)
 GET /admin 200 in 303ms (next.js: 53ms, application-code: 249ms)
 GET /api/auth/session 200 in 37ms (next.js: 22ms, application-code: 15ms)
 GET /api/auth/session 200 in 67ms (next.js: 15ms, application-code: 52ms)
 GET /api/auth/session 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /api/auth/session 200 in 35ms (next.js: 5ms, application-code: 29ms)
 GET /api/auth/session 200 in 32ms (next.js: 9ms, application-code: 23ms)
 GET /api/auth/session 200 in 17ms (next.js: 4ms, application-code: 13ms)
 GET /api/auth/session 200 in 25ms (next.js: 9ms, application-code: 16ms)
 GET /admin/settings 200 in 82ms (next.js: 46ms, application-code: 36ms)
 GET /api/auth/session 200 in 29ms (next.js: 13ms, application-code: 17ms)
 GET /api/auth/session 200 in 43ms (next.js: 5ms, application-code: 38ms)
 GET /api/auth/session 200 in 34ms (next.js: 5ms, application-code: 29ms)
 GET /api/auth/session 200 in 22ms (next.js: 5ms, application-code: 18ms)
 GET /api/auth/csrf 200 in 38ms (next.js: 9ms, application-code: 29ms)
 POST /api/auth/signout 200 in 22ms (next.js: 5ms, application-code: 18ms)
 GET /auth/login 200 in 75ms (next.js: 9ms, application-code: 67ms)
 GET /api/auth/session 200 in 45ms (next.js: 9ms, application-code: 36ms)
 GET /api/auth/providers 200 in 29ms (next.js: 13ms, application-code: 16ms)
 GET /api/auth/csrf 200 in 15ms (next.js: 6ms, application-code: 9ms)
Backend login gagal: { code: 'INVALID_CREDENTIALS', message: 'Wrong email or password' }
 POST /api/auth/callback/credentials 401 in 1705ms (next.js: 4ms, application-code: 1701ms)
 GET /auth/forgot-password 200 in 53ms (next.js: 6ms, application-code: 46ms)
 GET /api/auth/session 200 in 38ms (next.js: 18ms, application-code: 20ms)
 GET /api/auth/session 200 in 24ms (next.js: 9ms, application-code: 14ms)
 GET /api/auth/session 200 in 31ms (next.js: 13ms, application-code: 18ms)
 GET /auth/reset-password?token=6b2e4f268a2c822e2555248c93317b973c09be1929d453b817ee5f47109bc327 200 in 110ms (next.js: 51ms, application-code: 59ms)
 GET /api/auth/session 200 in 37ms (next.js: 12ms, application-code: 25ms)
 GET /api/auth/session 200 in 16ms (next.js: 4ms, application-code: 13ms)
 GET /api/auth/session 200 in 22ms (next.js: 10ms, application-code: 12ms)
 GET /api/auth/session 200 in 22ms (next.js: 3ms, application-code: 18ms)
 GET /auth/login 200 in 50ms (next.js: 5ms, application-code: 45ms)
 GET /api/auth/session 200 in 27ms (next.js: 11ms, application-code: 16ms)
 GET /api/auth/session 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET /api/auth/providers 200 in 39ms (next.js: 9ms, application-code: 29ms)
 GET /api/auth/csrf 200 in 30ms (next.js: 3ms, application-code: 26ms)
Backend login gagal: { code: 'INVALID_CREDENTIALS', message: 'Wrong email or password' }
 POST /api/auth/callback/credentials 401 in 1851ms (next.js: 3ms, application-code: 1848ms)
 GET /api/auth/providers 200 in 35ms (next.js: 12ms, application-code: 23ms)
 GET /api/auth/csrf 200 in 22ms (next.js: 5ms, application-code: 18ms)
Backend login gagal: { code: 'INVALID_CREDENTIALS', message: 'Wrong email or password' }
 POST /api/auth/callback/credentials 401 in 253ms (next.js: 4ms, application-code: 248ms)
 GET /auth/superadmin 200 in 179ms (next.js: 136ms, application-code: 43ms)
 GET /api/auth/providers 200 in 32ms (next.js: 11ms, application-code: 21ms)
 GET /api/auth/csrf 200 in 27ms (next.js: 4ms, application-code: 23ms)
 POST /api/auth/callback/credentials 200 in 405ms (next.js: 4ms, application-code: 401ms)
